stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
1,,Albolote,,37.228244012186536,-3.6536380648612976,0,1
2,,Juncaril,,37.222587203291546,-3.6458813200950623,0,1
3,,Vicuña,,37.21410888934877,-3.637003004550934,0,1
4,,Anfiteatro,,37.211024355176235,-3.6341625452041626,0,1
5,,Maracena,,37.20714287504751,-3.6303994059562683,0,1
6,,Cerrillo Maracena,,37.201496535149175,-3.6243832111358643,0,1
7,,Jaén,,37.20414991888194,-3.617269992828369,0,1
8,,Estación de autobuses,,37.199983936496274,-3.6131957173347473,0,1
9,,Argentinita,,37.19586472888098,-3.6154836416244507,0,1
10,,Luis Amador,,37.19198033240228,-3.6150410771369934,0,1
11,,Villarejo,,37.18879232856426,-3.6147111654281616,0,1
12,,Caleta,,37.18630080559792,-3.608810305595398,0,1
13,,Estación de ferrocarriles,,37.18330826885078,-3.6083659914398193,0,1
14,,Universidad,,37.18071915394851,-3.608311414718628,0,1
15,,Méndez Núñez,,37.17672284829848,-3.6098992824554443,0,1
16,,Recogidas,,37.17005901935292,-3.605790138244629,0,1
17,,Alcázar Genil,,37.16536962259957,-3.602963089942932,0,1
18,,Hípica,,37.16073551172378,-3.5965418815612793,0,1
19,,Andrés Segovia,,37.158153282407916,-3.5954368114471436,0,1
20,,Palacio deportes,,37.15410875261233,-3.592725098133087,0,1
21,,Nuevo Los Cármenes,,37.15105597268248,-3.596297800540924,0,1
22,,Dílar,,37.14921740429762,-3.601064085960388,0,1
23,,Parque tecnológico,,37.14905171716032,-3.6068308353424072,0,1
24,,Sierra Nevada,,37.143981515253365,-3.613973557949066,0,1
25,,Fernando de los Ríos,,37.1475861719014,-3.6207032203674316,0,1
26,,Armilla,,37.14376557247942,-3.6271297931671143,0,1
