shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,37.22822273010028,-3.653594707250746,10001
1,37.22699826101264,-3.650772868660411,10002
1,37.22682175963319,-3.650419308979989,10003
1,37.22654245527155,-3.649948466239063,10004
1,37.22595557504555,-3.649117762926355,10005
1,37.22542971939648,-3.648515988594999,10006
1,37.2246643968779,-3.647806036579483,10007
1,37.22290598158628,-3.646151769718648,10008
1,37.2220774947146,-3.645440028158099,10009
1,37.22089874271548,-3.644577042983278,10010
1,37.22000433292315,-3.643957845563421,10011
1,37.21912241579189,-3.643377672494224,10012
1,37.2188498663343,-3.643147795207398,10013
1,37.21857137764743,-3.642829342311694,10014
1,37.21757190938562,-3.641593129338387,10015
1,37.21702362810029,-3.640912320438971,10016
1,37.21663698862956,-3.640407998814679,10017
1,37.21625380181884,-3.639938618571226,10018
1,37.21608794580739,-3.639662356992802,10019
1,37.21594287426992,-3.639372566750279,10020
1,37.215586480042,-3.638627257028311,10021
1,37.21539819280182,-3.638250462570316,10022
1,37.21524837351464,-3.637979073858613,10023
1,37.21509003592804,-3.637773731910607,10024
1,37.21484606866655,-3.637524697770638,10025
1,37.21456776189293,-3.63731085208335,10026
1,37.21367443652968,-3.636713815604415,10027
1,37.2131137756738,-3.636352261590426,10028
1,37.21252093109418,-3.635966817470885,10029
1,37.21229384085935,-3.635807790208196,10030
1,37.21212479710255,-3.635661794922665,10031
1,37.21202021469818,-3.635540386415388,10032
1,37.21166642421609,-3.635052781235505,10033
1,37.21150730914296,-3.634833253304431,10034
1,37.21117985027734,-3.634383237261441,10035
1,37.21057903012324,-3.63350389228182,10036
1,37.21040958160653,-3.63324233098245,10037
1,37.21029750580089,-3.633117107012207,10038
1,37.20974551161645,-3.63262439502182,10039
1,37.20923343219396,-3.632232221295666,10040
1,37.20889308827319,-3.632025873782849,10041
1,37.20856921220485,-3.631815229482917,10042
1,37.20824873989601,-3.631567041935223,10043
1,37.20803658558869,-3.631350690724596,10044
1,37.20774749077217,-3.631058307322147,10045
1,37.20734472133519,-3.630642383812024,10046
1,37.20705378744297,-3.630311094349841,10047
1,37.20673080000523,-3.629930732689313,10048
1,37.2064446663219,-3.62956699516762,10049
1,37.20625930463256,-3.62931044375035,10050
1,37.20605105623859,-3.62900090904843,10051
1,37.20567994877662,-3.628465565333262,10052
1,37.20552034374499,-3.628253715477015,10053
1,37.20522577857996,-3.627860733912195,10054
1,37.20497385666286,-3.627573047311443,10055
1,37.20485596846344,-3.627435867337463,10056
1,37.20471089832746,-3.627161538771469,10057
1,37.20451593299254,-3.626699906921673,10058
1,37.20413727009927,-3.626025869530412,10059
1,37.20403514798088,-3.625916472245661,10060
1,37.20382802207965,-3.625767701391125,10061
1,37.20336974874006,-3.62549332447166,10062
1,37.20300334060567,-3.625261951778965,10063
1,37.20242012206778,-3.62495082164303,10064
1,37.20158552634108,-3.624443452000651,10065
1,37.20133768681238,-3.624308233326113,10066
1,37.20122125694126,-3.624224782960156,10067
1,37.20110540677066,-3.624101922501419,10068
1,37.20102585486463,-3.623950382235054,10069
1,37.20099753690652,-3.62381357272914,10070
1,37.20099447211451,-3.623660750788658,10071
1,37.20103624356201,-3.623500273195364,10072
1,37.20110558173894,-3.623368669347195,10073
1,37.20190214514713,-3.622161560867252,10074
1,37.20290331288548,-3.620618199070589,10075
1,37.2045047358013,-3.618157828467596,10076
1,37.20455880996039,-3.61800156810117,10077
1,37.20456673701583,-3.617853767962622,10078
1,37.204524729103,-3.617708102652428,10079
1,37.20443940793541,-3.617564110573808,10080
1,37.20432163830332,-3.617468379551099,10081
1,37.2033847691633,-3.616563692373866,10082
1,37.20229702966738,-3.615520001586972,10083
1,37.20133686918414,-3.614572817152406,10084
1,37.20051559543458,-3.613737953923427,10085
1,37.20009451028613,-3.613328222862138,10086
1,37.19983155503157,-3.613039983541696,10087
1,37.19967011187042,-3.612907271961801,10088
1,37.19958244625276,-3.612854365753036,10089
1,37.19947237829394,-3.612819579084761,10090
1,37.19933533843872,-3.612821473354612,10091
1,37.19920060988448,-3.612881912114848,10092
1,37.19909324355007,-3.612993628865349,10093
1,37.19897185063959,-3.613139189414283,10094
1,37.19881642111154,-3.613346315287825,10095
1,37.19768569624843,-3.614810499289368,10096
1,37.19743610207806,-3.61511502239483,10097
1,37.19731007145906,-3.615265560492468,10098
1,37.19719685515216,-3.615355973516436,10099
1,37.19711883523126,-3.615410175949757,10100
1,37.19699472616128,-3.615471329352968,10101
1,37.19683644452313,-3.615516190823177,10102
1,37.19664290256211,-3.615519839380673,10103
1,37.19628395522622,-3.615523616130576,10104
1,37.19565265387966,-3.615499731429439,10105
1,37.19551322777321,-3.615472364001775,10106
1,37.19538137326622,-3.615436034563228,10107
1,37.19525649506637,-3.6153730236627,10108
1,37.19512385155981,-3.615266241049858,10109
1,37.19497580177159,-3.615193751378683,10110
1,37.19486229206994,-3.61515254946763,10111
1,37.19468822342765,-3.615128876258287,10112
1,37.19398633748543,-3.61511991983975,10113
1,37.19197019800222,-3.61503278453301,10114
1,37.19141250954706,-3.615023454727572,10115
1,37.19128598358057,-3.615019647232902,10116
1,37.19115516801189,-3.61501362478697,10117
1,37.19105091744354,-3.615001372277523,10118
1,37.1909488584183,-3.614960948521401,10119
1,37.1908223388841,-3.614878401483815,10120
1,37.1907034748827,-3.614799854108302,10121
1,37.19059391727887,-3.614746750593826,10122
1,37.19048370907103,-3.614691840355639,10123
1,37.19036061898278,-3.614688208841041,10124
1,37.18986755491009,-3.614679533775025,10125
