stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
b3df9606-d1b7-4d8f-9152-65079195cfc3,98,Pepita Bustamante - CEIP García Lorca,,37.1597149,-3.5907729,,,0,,,2,
c07cf486-b838-461b-9273-f84b5cce4c24,99,Cno. Bajo de Huétor 70,,37.1598643,-3.5891913,,,0,,,2,
ef3dc24e-a9b1-4c3c-b274-4588d736b217,100,Paseo Laguna Cameros - Centro Comercial,,37.1568837,-3.5848634,,,0,,,2,
b3b04b41-fcfa-4d20-a7b8-7a66f8e3ba3e,101,Cno Conejeras 14,,37.1581479,-3.5814577,,,0,,,2,
2d923837-ea94-45a6-a75b-694e9152abab,104,Polideportivo Bola de Oro,,37.1642353,-3.5826825,,,0,,,2,
4d4a84d1-d083-49d1-a51b-cd14c1804632,105,Guarnón 67,,37.1649348,-3.5868215,,,0,,,2,
6667f325-55ab-4be5-9d80-224224066b32,106,Guarnón 1,,37.1647766,-3.5880106,,,0,,,2,
51890156-1637-4876-b743-63044a5aa483,107,Pepita Bustamante 25,,37.1601239,-3.5904251,,,0,,,2,
471a29a9-6a33-4821-bace-9b848cb9e41e,108,Guarnón 56 - Polideportivo Bola de Oro,,37.1634566,-3.5844732,,,0,,,2,
b9b0a892-d482-4982-b6c8-04f6ab046a83,113,Cristo de la Yedra 33,,37.1874047,-3.6002809,,,0,,,2,
2dc1aeb1-dc5e-42de-86e5-5a1edf5ada36,115,Cno. Ronda 53,,37.168067,-3.604626,,,0,,,2,
620021f8-5d46-4af0-9d07-de37ef4cb523,116,Cno. Ronda 27,,37.1660621,-3.6034082,,,0,,,2,
5d6f4d39-5690-41d3-b616-bd9420fdb19f,117,Cno. Ronda 19 - Alcázar Genil,,37.1643437,-3.6023621,,,0,,,2,
247324f5-ce89-4be1-b764-d26051b3832b,119,Blanqueo,,37.1614081,-3.5257985,,,0,,,2,
44347d3e-0bb0-44a8-abaf-f3f9d289ed90,120,Río Aguas Blancas - Blanqueo,,37.1632662,-3.5177116,,,0,,,2,
3917a94b-f529-4d3b-9d9e-df2a517c89bb,121,Calle Quentar 10 I,,37.1676394,-3.514418,,,0,,,2,
a3d4c93e-2999-4bab-b24e-c6f63c2a364b,122,Calle Quentar 11 I,,37.1735682,-3.5074496,,,0,,,2,
3d7aa532-0f80-4663-bcbd-5f42d1a6abad,123,Ctra. de Dudar 1,,37.1772869,-3.502171,,,0,,,2,
fb5fc488-d7f7-49f6-b0a4-d81925a82df3,124,Ctra. de Dudar 2,,37.1810867,-3.4951007,,,0,,,2,
6d61a43c-1e57-446c-a291-764c06e1e3f1,125,Dudar 1,,37.1856981,-3.4868931,,,0,,,2,
