service_id,date,exception_type
1_868_1256_9_212_3,20260402,1
1_868_1256_9_212_3,20260403,1
1_868_1256_9_212_3,20260501,1
1_868_1256_9_212_3,20260815,1
1_868_1256_9_212_3,20261212,1
1_868_1256_9_212_3,20261102,1
1_868_1256_9_212_3,20261207,1
1_868_1256_9_212_3,20261208,1
1_868_1256_9_212_3,20261225,1
1_868_1256_9_212_3,20260422,1
1_868_1256_9_212_3,20260604,1
1_871_1258_9_220_3,20260101,1
1_871_1258_9_220_3,20260106,1
1_871_1258_9_220_3,20260228,1
1_871_1258_9_220_3,20260402,1
1_871_1258_9_220_3,20260403,1
1_871_1258_9_220_3,20260501,1
1_871_1258_9_220_3,20260815,1
1_871_1258_9_220_3,20261212,1
1_871_1258_9_220_3,20261102,1
1_871_1258_9_220_3,20261207,1
1_871_1258_9_220_3,20261208,1
1_871_1258_9_220_3,20261225,1
1_871_1258_9_220_3,20260422,1
1_871_1258_9_220_3,20260604,1
1_871_1258_9_221_3,20260101,1
1_871_1258_9_221_3,20260106,1
1_871_1258_9_221_3,20260228,1
1_871_1258_9_221_3,20260402,1
1_871_1258_9_221_3,20260403,1
1_871_1258_9_221_3,20260501,1
1_871_1258_9_221_3,20260815,1
1_871_1258_9_221_3,20261212,1
1_871_1258_9_221_3,20261102,1
1_871_1258_9_221_3,20261207,1
1_871_1258_9_221_3,20261208,1
1_871_1258_9_221_3,20261225,1
1_871_1258_9_221_3,20260422,1
1_871_1258_9_221_3,20260604,1
1_871_1258_9_222_3,20260101,1
1_871_1258_9_222_3,20260106,1
1_871_1258_9_222_3,20260228,1
1_871_1258_9_222_3,20260402,1
1_871_1258_9_222_3,20260403,1
1_871_1258_9_222_3,20260501,1
1_871_1258_9_222_3,20260815,1
1_871_1258_9_222_3,20261212,1
1_871_1258_9_222_3,20261102,1
1_871_1258_9_222_3,20261207,1
1_871_1258_9_222_3,20261208,1
1_871_1258_9_222_3,20261225,1
1_871_1258_9_222_3,20260422,1
1_871_1258_9_222_3,20260604,1
1_871_1261_9_204_3,20260101,1
1_871_1261_9_204_3,20260106,1
1_871_1261_9_204_3,20260228,1
1_871_1261_9_204_3,20260402,1
1_871_1261_9_204_3,20260403,1
1_871_1261_9_204_3,20260501,1
1_871_1261_9_204_3,20260815,1
1_871_1261_9_204_3,20261212,1
1_871_1261_9_204_3,20261102,1
1_871_1261_9_204_3,20261207,1
1_871_1261_9_204_3,20261208,1
1_871_1261_9_204_3,20261225,1
1_871_1261_9_204_3,20260422,1
1_871_1261_9_204_3,20260604,1
1_871_1264_9_206_3,20260101,1
1_871_1264_9_206_3,20260106,1
1_871_1264_9_206_3,20260228,1
1_871_1264_9_206_3,20260402,1
1_871_1264_9_206_3,20260403,1
1_871_1264_9_206_3,20260501,1
1_871_1264_9_206_3,20260815,1
1_871_1264_9_206_3,20261212,1
1_871_1264_9_206_3,20261102,1
1_871_1264_9_206_3,20261207,1
1_871_1264_9_206_3,20261208,1
1_871_1264_9_206_3,20261225,1
1_871_1264_9_206_3,20260422,1
1_871_1264_9_206_3,20260604,1
1_871_1271_9_217_3,20260101,1
1_871_1271_9_217_3,20260106,1
1_871_1271_9_217_3,20260228,1
1_871_1271_9_217_3,20260402,1
1_871_1271_9_217_3,20260403,1
1_871_1271_9_217_3,20260501,1
1_871_1271_9_217_3,20260815,1
1_871_1271_9_217_3,20261212,1
1_871_1271_9_217_3,20261102,1
1_871_1271_9_217_3,20261207,1
1_871_1271_9_217_3,20261208,1
1_871_1271_9_217_3,20261225,1
1_871_1271_9_217_3,20260422,1
1_871_1271_9_217_3,20260604,1
1_871_1504_9_210_3,20260101,1
1_871_1504_9_210_3,20260106,1
1_871_1504_9_210_3,20260228,1
1_871_1504_9_210_3,20260402,1
1_871_1504_9_210_3,20260403,1
1_871_1504_9_210_3,20260501,1
1_871_1504_9_210_3,20260815,1
1_871_1504_9_210_3,20261212,1
1_871_1504_9_210_3,20261102,1
1_871_1504_9_210_3,20261207,1
1_871_1504_9_210_3,20261208,1
1_871_1504_9_210_3,20261225,1
1_871_1504_9_210_3,20260422,1
1_871_1504_9_210_3,20260604,1
1_871_1504_9_211_3,20260101,1
1_871_1504_9_211_3,20260106,1
1_871_1504_9_211_3,20260228,1
1_871_1504_9_211_3,20260402,1
1_871_1504_9_211_3,20260403,1
1_871_1504_9_211_3,20260501,1
1_871_1504_9_211_3,20260815,1
1_871_1504_9_211_3,20261212,1
1_871_1504_9_211_3,20261102,1
1_871_1504_9_211_3,20261207,1
1_871_1504_9_211_3,20261208,1
1_871_1504_9_211_3,20261225,1
1_871_1504_9_211_3,20260422,1
1_871_1504_9_211_3,20260604,1
1_874_1510_9_214_3,20260101,1
1_874_1510_9_214_3,20260106,1
1_874_1510_9_214_3,20260228,1
1_874_1510_9_214_3,20260402,1
1_874_1510_9_214_3,20260403,1
1_874_1510_9_214_3,20260501,1
1_874_1510_9_214_3,20260815,1
1_874_1510_9_214_3,20261212,1
1_874_1510_9_214_3,20261102,1
1_874_1510_9_214_3,20261207,1
1_874_1510_9_214_3,20261208,1
1_874_1510_9_214_3,20261225,1
1_874_1510_9_214_3,20260422,1
1_874_1510_9_214_3,20260604,1
1_874_1510_9_467_3,20260101,1
1_874_1510_9_467_3,20260106,1
1_874_1510_9_467_3,20260228,1
1_874_1510_9_467_3,20260402,1
1_874_1510_9_467_3,20260403,1
1_874_1510_9_467_3,20260501,1
1_874_1510_9_467_3,20260815,1
1_874_1510_9_467_3,20261212,1
