stop_id,stop_name,stop_lat,stop_lon
1_2106,"Rtda Entrada Av De La Constitución",37.42617485935401,-6.161530160843313
1_2107,"Sor María De La Eucaristía",37.42346851797207,-6.163737773895264
1_2108,"Casa De La Cultura Albaida",37.424724212351634,-6.163258999586105
1_2109,"Av De La Constitucion Lava Coches",37.35166389,-5.844844444
1_2110,"C Mariana Pineda A-92",37.35118857058315,-5.842858403921127
1_2111,"C Santa Lucia N 56",37.33252440566026,-5.834931135177612
1_2112,"C Atilano De Acevedo (Dia)",37.34671389,-5.843033333
1_2114,"C Silos Joyeria",37.344475,-5.846418
1_2115,"Bar Titi C Cantillana",37.34401389,-5.842375
1_2116,"C Malasmananas Veterinario",37.34381941852548,-5.840952694416046
1_2118,"Puerta Alcala C 28 De Febrero",37.34285,-5.828672222
1_2119,"C Silos Imprenta",37.341072,-5.848536
1_2120,"Duquesa De Talavera Inem",37.337286580804346,-5.852400362491608
1_2121,"Pisos De San Francisco (I)",37.33296054218503,-5.848865211009979
1_2122,"Pisos De San Francisco",37.33293388354591,-5.847330987453461
1_2123,"C 28 De Febrero (Instituto)",37.34100355473035,-5.831281989812851
1_2124,"Rtda Rafael Beca Mateos (V)",37.3398381549913,-5.835498422384262
1_2125,"Rtda Rafael Beca Mateos",37.33976671635865,-5.835273116827011
1_2126,"Antonio Mairena",37.339452172317095,-5.8371493220329285
1_2127,"Cruz Del Ingles (I)",37.33728018310026,-5.840684473514557
1_2128,"Cruz Del Ingles",37.338089488338646,-5.840125232934952
1_2130,"C Rafael Beca (V)",37.33715556,-5.832844444
1_2131,"Puente Romano (I)",37.33214265082936,-5.8521924912929535
1_2132,"Puente Romano",37.33203601505512,-5.852000713348389
1_2133,"Cuartel Guardia Civil A-92",37.34920029278816,-5.837793052196503
1_2134,"C Ciudad Real",37.33351610607153,-5.83086222410202
1_2136,"Venta La Liebre Antes De Autovia A-8033",37.35584875,-5.8682624033333299
1_2137,"Venta La Liebre A-92",37.357359892094806,-5.868230760097504
1_2138,"Maices Del Sur A-392 (Frente)",37.309983210489115,-5.884352248763476
1_2139,"Maices Del Sur A-392",37.30907754120057,-5.8850888372005015
1_2140,"Pasarela Metasola A-376",37.312900849999998,-5.8928968533333297
1_2141,"Pasarela Artesema A-376",37.312473516666664,-5.8932672999999998
1_2142,"Itv A-392 (V)",37.30603085042788,-5.890657069114036
1_2143,"Itv A-392",37.30650481623342,-5.889798810802657
1_2146,"Bda Campo De Las Beatas (Frente)",37.327811324589966,-5.8520060777664185
1_2147,"Bda Campo De Las Beatas",37.32781434087681,-5.852175056934357
1_2148,"Venta El Cordobes A-392 (V)",37.32258911905102,-5.871065562085854
1_2149,"Venta El Cordobes A-392 (I)",37.32440648590511,-5.869284455522937
1_2150,"Cepsa Entrada Desde Ctra Dos Hermanas (I)",37.33063023671824,-5.857545562274378
1_2151,"Cepsa Entrada Desde Ctra Dos Hermanas (V)",37.330519288346245,-5.857180710976564
1_2152,"Venta Carmelilla A-392 (I)",37.32759769988356,-5.862757712602615
1_2153,"Venta Carmelilla A-392 -Frente- (V)",37.3280487948223,-5.862159579992294
1_2154,"Venta De Los Pinares Se-3204 (V)",37.31896132233378,-5.855879187583923
1_2155,"Venta De Los Pinares Se-3204 -Frente- (I)",37.31886959948853,-5.855745077133179
1_2156,"Blanca Paloma A-8033",37.34066111,-5.854530556
1_2157,"Poligono Fridex A-92 (Gasolinera)",37.379273629955335,-5.895566493272781
1_2158,"Poligono Fridex A-92 (Cuñado)",37.378403366666667,-5.8956002916666703
1_2159,"Mutua",37.37384722,-5.884088889
1_2160,"Puleva  A-92",37.37160881296974,-5.882038772106171
1_2161,"Goya A-92",37.370926849999996,-5.8821365166666704
1_2162,"Desguace Gallego A-92",37.36593856117784,-5.876784324645996
1_2163,"Poligono Hacienda Dolores A-92",37.36594921994788,-5.877610445022583
1_2164,"Rocca A-8033",37.353097183333333,-5.8673791066666698
1_2165,"Oxigeno A-8033",37.34655556,-5.862727778
1_2166,"Cc Los Alcores",37.35453920591768,-5.8572739362716675
1_2167,"Hospital Del Tomillar (V)",37.299087066666665,-5.9007906050000001
1_2168,"Hospital Del Tomillar",37.29894467192459,-5.901089316697608
1_2169,"Poligono La Red A-92 (Gruas Lozano)",37.373000730318196,-5.884087979793549
1_2171,"Cementerio Alcalá G. (I)",37.34852650520382,-5.834260582923889
1_2172,"Montecarmelo",37.34650278,-5.827419444
1_2175,"Flex A-92",37.352424154757756,-5.844324231147766
1_2176,"Urb San Antonio",37.305818217498796,-5.861487686634064
1_2177,"Urb San Antonio (Frente)",37.3059163566443,-5.861334800720215
1_2178,"Urb La Galvana (V)",37.290264416666666,-5.8632154700000001
1_2179,"Urb La Galvana",37.290009300000001,-5.8637318483333303
1_2180,"Plaza Director Ricardo Carmona",37.38408612081888,-5.874804854393005
1_2181,"Av Los Azahares (I)",37.38117692388949,-5.874708294868469
1_2182,"Av Los Azahares (V)",37.381104499999999,-5.8747830866666702
1_2183,"Urb Santa Genoveva",37.373951696965065,-5.843967604848214
1_2184,"Torrequinto (V)",37.325922883333334,-5.903285275
1_2185,"Torrequinto",37.326082849999999,-5.9027869416666698
1_2186,"Club De Golf",37.349073414347615,-5.922476713200481
1_2188,"Av Antonio Machado",37.51504142122795,-5.983166056163946
1_2190,"Av De Andalucia Correos",37.515820282720156,-5.98092645406723
1_2192,"Urb Santa Iglesia (V)",37.31356228239434,-6.0909077525138855
1_2193,"Urb Santa Iglesia",37.31348975215373,-6.090728044509888
